datetime,account,return,total_turnover,turnover,total_cost,cost,value,cash,bench
2017-07-31,118525031.01160254,0.01190324211077396,2972544590.196881,0.08429907202163844,2924141.6054693395,8.292894020576848e-05,118255142.07216446,269888.93943807087,0.0042934417724609375
2017-08-01,118769274.76013622,0.0022739011075751585,2997615021.089559,0.2115201378029936,2949412.0562283215,0.00021320771269410792,118124616.53884867,644658.2212875532,0.008697509765625
2017-08-02,119396119.44108792,0.005492282558090363,3023061892.50864,0.21425466704644505,2974881.79147876,0.00021444717332724876,118731203.29233459,664916.1487533352,-0.002527594566345215
2017-08-03,118653594.69436969,-0.006017685161858454,3047103515.4957147,0.20136017066230866,2998918.2818528735,0.00020131718255695443,118022980.26191026,630614.432459427,-0.008779942989349365
2017-08-04,117849323.92468117,-0.0065763739181806495,3071050054.3990617,0.20181890793135254,3022878.6460949597,0.0002019354264302213,117215019.17898582,634304.7456953521,-0.00543212890625
2017-08-07,119474646.21943207,0.014033397207358526,3099487093.3178935,0.24129997501730477,3051382.7245977717,0.00024186883346933102,118734766.38428016,739879.8351519173,0.005181312561035156
2017-08-08,120005309.89121608,0.004645882333330509,3122274102.9108915,0.1907267383838615,3075784.2009655302,0.00020423978760265025,116060897.98291105,3944411.9083050275,0.0014543533325195312
2017-08-09,120416600.66274671,0.0035571488448496026,3138643795.112162,0.13640806574400402,3091370.17889026,0.0001298774024154287,118055203.28544939,2361397.377297327,-0.0003135204315185547
2017-08-10,120344511.98664917,-0.0003916062578942261,3164387125.078668,0.21378555635037302,3116302.9606139204,0.00020705435618042549,119629143.87676914,715368.1098800339,-0.004052460193634033
2017-08-11,118021975.71473573,-0.019111870177661038,3186962421.697168,0.18758891656816243,3138830.542844548,0.0001871924349415012,117424563.96282946,597411.7519062785,-0.01845306158065796
2017-08-14,120390885.29334377,0.020307702592734105,3214731422.3597236,0.23528669550215445,3166676.1464582523,0.00023593575217727657,119668113.2427522,722772.0505915727,0.012976527214050293
2017-08-15,121026296.79836105,0.005448998123735652,3235407999.831525,0.17174537276157448,3187274.349519276,0.00017109437322297496,120480871.77238554,545425.02597551,0.003080129623413086
2017-08-16,120949687.58222254,-0.00047498091811959306,3254544565.5779138,0.15811907207465725,3206398.384087888,0.00015801553112439757,120448448.94637066,501238.63585187774,-0.00125199556350708
2017-08-17,122356580.61783312,0.011811604888400476,3276217427.975831,0.17918907300346593,3228115.2695739917,0.00017955305152268612,121789012.69109416,567567.926738969,0.005365490913391113
2017-08-18,121793131.65741678,-0.004484623072909866,3291020485.2363286,0.12098292699706309,3242841.085429248,0.00012035164582811198,121394772.35701501,398359.30040176306,0.0009109973907470703
2017-08-21,123175744.97664447,0.01152337289117034,3311793662.533535,0.17056115574429756,3263695.437873369,0.00017122765594681374,122635889.73486006,539855.2417844078,0.004381656646728516
2017-08-22,122976223.76810221,-0.001445306107455838,3333262992.581672,0.17429835762071516,3285189.9899104596,0.00017450312187002515,122407419.10044879,568804.6676534223,0.0030232667922973633
2017-08-23,121632749.28804164,-0.01075548680312158,3354065535.4831057,0.16915906395581864,3305995.3181354874,0.0001691817132412574,121079179.3014227,553569.9866189407,0.0010100603103637695
2017-08-24,120805242.29691166,-0.006652689727889299,3372411526.3194065,0.15083101338813973,3324317.367501978,0.00015063417931219768,120317877.29928046,487364.99763119547,-0.005708098411560059
